Molecule|Datafile|Disp2 (CCD)|Disp20|Disp21|Disp22 (S) (CCD)|Disp22 (SDQ)|Disp22 (T)|Disp22 (T) (CCD)|Dispersion|Electrostatics|Elst10,r|Elst12,r|Est. Disp22 (T)|Exch-Disp20|Exch-Ind20,r|Exch-Ind22|Exch10|Exch10(S^2)|Exch11(S^2)|Exch12(S^2)|Exchange|Ind20,r|Induction|InteractionEnergy|delta HF,r (2)|delta MP2,r (2)
water#fluoride|0710|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.413222|-6.637|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.181247|N/A|-2.412|-9.281|N/A|N/A
water#fluoride|0711|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-1.128|-29.039|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.896615|N/A|-4.443|-33.714|N/A|N/A
water#fluoride|0712|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.984657|-27.855|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.721938|N/A|-4.088|-32.206|N/A|N/A
water#fluoride|0713|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.377067|-6.392|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.154759|N/A|-2.287|-8.901|N/A|N/A
water#fluoride|0714|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.344449|-6.160|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.132205|N/A|-2.169|-8.541|N/A|N/A
water#fluoride|0715|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.314992|-5.939|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.112989|N/A|-2.058|-8.199|N/A|N/A
water#fluoride|0716|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.559276|-23.592|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.290762|N/A|-2.922|-26.782|N/A|N/A
water#fluoride|0717|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.288364|-5.730|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.096607|N/A|-1.956|-7.878|N/A|N/A
water#fluoride|0718|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.264268|-5.531|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0826321|N/A|-1.859|-7.572|N/A|N/A
water#fluoride|0719|N/A|N/A|N/A|N/A|N/A|N/A|N/A|-0.242441|-5.342|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|N/A|0.0707038|N/A|-1.769|-7.283|N/A|N/A
